--Rotas do 1º turno-----------------------------
368 -> 29 (117)
369 -> 396 (148)
384 -> 193 (112)
392 -> 318 (166)
396 -> 25 (148)
Fluxo: 1145
Arestas removidas: 15783

--Rotas do 29º turno-----------------------------
16 -> 343 (110)
17 -> 240 (86)
20 -> 220 (160)
25 -> 245 (148)
29 -> 251 (117)
33 -> 58 (86)
57 -> 17 (86)
58 -> 57 (86)
59 -> 33 (86)
87 -> 369 (148)
88 -> 294 (155)
89 -> 392 (166)
95 -> 20 (160)
98 -> 303 (91)
139 -> 209 (91)
146 -> 211 (166)
150 -> 266 (110)
157 -> 16 (110)
174 -> 148 (160)
207 -> 276 (112)
209 -> 265 (91)
211 -> 311 (166)
220 -> 174 (160)
224 -> 368 (117)
228 -> 224 (117)
232 -> 89 (166)
243 -> 139 (91)
251 -> 3 (117)
266 -> 157 (110)
269 -> 150 (110)
276 -> 313 (112)
294 -> 61 (155)
303 -> 243 (91)
313 -> 384 (112)
318 -> 146 (166)
368 -> 29 (117)
369 -> 396 (148)
384 -> 193 (112)
392 -> 318 (166)
396 -> 25 (148)
Fluxo: 1145
Arestas removidas: 15783

--Rotas do 30º turno-----------------------------
16 -> 343 (110)
17 -> 240 (86)
20 -> 220 (160)
25 -> 245 (148)
29 -> 251 (117)
33 -> 58 (86)
57 -> 17 (86)
58 -> 57 (86)
59 -> 33 (86)
87 -> 369 (148)
88 -> 294 (155)
89 -> 392 (166)
95 -> 20 (160)
98 -> 303 (91)
139 -> 209 (91)
146 -> 211 (166)
150 -> 266 (110)
157 -> 16 (110)
174 -> 148 (160)
207 -> 276 (112)
209 -> 265 (91)
211 -> 311 (166)
220 -> 174 (160)
224 -> 368 (117)
228 -> 224 (117)
232 -> 89 (166)
243 -> 139 (91)
251 -> 3 (117)
266 -> 157 (110)
269 -> 150 (110)
276 -> 313 (112)
294 -> 61 (155)
303 -> 243 (91)
313 -> 384 (112)
318 -> 146 (166)
368 -> 29 (117)
369 -> 396 (148)
384 -> 193 (112)
392 -> 318 (166)
396 -> 25 (148)
Fluxo: 1145
Arestas removidas: 15783

--Rotas do 31º turno-----------------------------
16 -> 343 (110)
17 -> 240 (61)
20 -> 220 (160)
25 -> 245 (148)
29 -> 251 (117)
32 -> 366 (61)
57 -> 17 (61)
58 -> 57 (61)
87 -> 369 (148)
88 -> 294 (155)
89 -> 392 (166)
95 -> 20 (160)
98 -> 303 (91)
139 -> 209 (91)
146 -> 211 (166)
150 -> 266 (110)
157 -> 16 (110)
174 -> 148 (160)
207 -> 276 (112)
209 -> 265 (91)
211 -> 311 (166)
220 -> 174 (160)
224 -> 368 (117)
228 -> 224 (117)
232 -> 89 (166)
243 -> 139 (91)
251 -> 3 (117)
266 -> 157 (110)
269 -> 150 (110)
276 -> 313 (112)
294 -> 61 (155)
303 -> 243 (91)
313 -> 384 (112)
318 -> 146 (166)
344 -> 58 (61)
366 -> 344 (61)
368 -> 29 (117)
369 -> 396 (148)
384 -> 193 (112)
392 -> 318 (166)
396 -> 25 (148)
Fluxo: 1120
Arestas removidas: 15818

--Rotas do 32º turno-----------------------------
16 -> 343 (110)
17 -> 240 (61)
20 -> 220 (160)
25 -> 245 (148)
29 -> 251 (117)
32 -> 366 (61)
57 -> 17 (61)
58 -> 57 (61)
87 -> 369 (148)
88 -> 294 (155)
89 -> 392 (166)
95 -> 20 (160)
98 -> 303 (91)
139 -> 209 (91)
146 -> 211 (166)
150 -> 266 (110)
157 -> 16 (110)
174 -> 148 (160)
207 -> 276 (112)
209 -> 265 (91)
211 -> 311 (166)
220 -> 174 (160)
224 -> 368 (117)
228 -> 224 (117)
232 -> 89 (166)
243 -> 139 (91)
251 -> 3 (117)
266 -> 157 (110)
269 -> 150 (110)
276 -> 313 (112)
294 -> 61 (155)
303 -> 243 (91)
313 -> 384 (112)
318 -> 146 (166)
344 -> 58 (61)
366 -> 344 (61)
368 -> 29 (117)
369 -> 396 (148)
384 -> 193 (112)
392 -> 318 (166)
396 -> 25 (148)
Fluxo: 1120
Arestas removidas: 15818

--Rotas do 33º turno-----------------------------
16 -> 343 (110)
17 -> 240 (61)
20 -> 220 (160)
25 -> 245 (148)
29 -> 251 (117)
32 -> 366 (61)
57 -> 17 (61)
58 -> 57 (61)
87 -> 369 (148)
88 -> 294 (155)
89 -> 392 (166)
95 -> 20 (160)
98 -> 303 (91)
139 -> 209 (91)
146 -> 211 (166)
150 -> 266 (110)
157 -> 16 (110)
174 -> 148 (160)
207 -> 276 (112)
209 -> 265 (91)
211 -> 311 (166)
220 -> 174 (160)
224 -> 368 (117)
228 -> 224 (117)
232 -> 89 (166)
243 -> 139 (91)
251 -> 3 (117)
266 -> 157 (110)
269 -> 150 (110)
276 -> 313 (112)
294 -> 61 (155)
